customer_id,customer_name,product_category,purchase_amount,delivery_status,payment_status,customer_age,customer_gender,product_rating,shipping_region,loyalty_status,country
1001,Daniel Brown,books,235,delivered,completed,27,Female,3,East,Platinum,Italy
1017,David Smith,appliances,24,delivered,completed,62,Female,4,West,Platinum,South Korea
1020,Sarah Williams,books,136,delivered,completed,55,Male,2,West,Platinum,Spain
1027,Jessica Miller,clothing,94,delivered,completed,64,Female,4,East,Gold,China
1029,Sarah Williams,appliances,85,shipped,pending,25,Male,4,North,Platinum,Spain
1031,Jessica Miller,electronics,39,pending,pending,33,Male,3,West,Platinum,Russia
1035,Jessica Garcia,clothing,164,delivered,cancelled,29,Female,3,East,Silver,China
1051,Jessica Brown,books,258,delivered,completed,27,Male,4,South,Gold,Australia
1067,Daniel Davis,appliances,175,delivered,completed,36,Male,4,South,Gold,Japan
1070,Jennifer Williams,clothing,111,delivered,completed,66,Male,3,North,Silver,South Africa
1073,John Miller,electronics,167,pending,completed,26,Male,3,South,Gold,China
1075,David Brown,electronics,208,delivered,cancelled,44,Female,1,West,Platinum,Germany
1078,Daniel Smith,appliances,66,delivered,completed,41,Male,2,North,Silver,France
1079,Michael Brown,books,72,delivered,completed,49,Male,1,North,Silver,USA
1083,Emily Smith,electronics,72,shipped,completed,66,Male,1,North,Gold,UK
1084,Vivaan Sharma,appliances,243,delivered,completed,46,Female,3,East,Silver,India
1088,Jennifer Davis,electronics,83,delivered,completed,51,Female,4,East,Silver,Mexico
1093,John Brown,clothing,279,delivered,pending,49,Female,2,North,Gold,Spain
1094,Aarav Patel,clothing,22,delivered,cancelled,24,Male,4,North,Gold,India
1099,John Davis,clothing,222,delivered,pending,28,Female,4,South,Silver,Canada
1100,Jennifer Jones,electronics,40,delivered,completed,69,Male,4,East,Gold,South Korea
1102,Vivaan Patel,clothing,242,delivered,completed,29,Male,1,West,Silver,India
1103,David Davis,clothing,121,pending,completed,24,Female,1,West,Silver,Brazil
1104,Jessica Smith,appliances,65,pending,completed,61,Female,3,South,Gold,Russia
1107,John Johnson,clothing,183,delivered,completed,68,Female,4,North,Gold,South Korea
1109,Daniel Johnson,clothing,142,shipped,completed,24,Male,1,North,Silver,South Africa
1113,Sarah Williams,appliances,122,delivered,cancelled,42,Male,1,South,Gold,South Africa
1115,Emily Smith,books,103,shipped,completed,53,Male,3,South,Platinum,South Africa
1119,Sarah Brown,appliances,145,cancelled,completed,56,Female,4,West,Silver,Italy
1121,Emily Jones,appliances,284,delivered,cancelled,24,Male,1,West,Platinum,Mexico
1124,Sarah Miller,books,249,delivered,completed,62,Male,1,North,Gold,Mexico
1125,Michael Brown,electronics,208,delivered,completed,63,Female,3,West,Platinum,USA
1128,Jessica Williams,electronics,95,delivered,completed,51,Female,1,North,Silver,Mexico
1131,Jennifer Miller,appliances,68,delivered,completed,57,Male,4,North,Platinum,UK
1133,Vivaan Kumar,electronics,237,delivered,completed,51,Male,3,North,Gold,India
1138,John Williams,electronics,45,pending,completed,46,Male,4,South,Gold,Mexico
1140,Michael Garcia,electronics,280,cancelled,completed,47,Male,2,South,Platinum,UK
1141,John Jones,appliances,273,delivered,cancelled,29,Female,4,West,Gold,Australia
1144,John Jones,appliances,163,delivered,completed,30,Female,4,East,Silver,Australia
1146,Sarah Garcia,books,163,delivered,completed,27,Female,3,North,Gold,Japan
1149,Sarah Williams,electronics,32,delivered,completed,33,Male,1,West,Platinum,China
1155,Aarav Singh,electronics,109,delivered,completed,37,Male,1,North,Platinum,India
1160,Michael Jones,appliances,116,delivered,pending,46,Female,4,South,Platinum,Spain
1164,Michael Garcia,appliances,219,delivered,completed,55,Male,1,South,Silver,South Africa
1169,Emily Smith,books,50,delivered,cancelled,22,Female,1,West,Platinum,UK
1173,Jessica Smith,books,290,delivered,completed,65,Female,2,South,Silver,South Africa
